iter	RMSE
220	18416.68754
221	18383.01414
222	18360.64455
223	18296.24122
224	18285.41905
225	18258.35365
226	18228.36992
227	18204.4312
228	18158.85616
229	18142.72803
230	18114.15231
231	18100.34141
232	18092.42613
233	18054.29036
234	18038.24085
235	17997.3955
236	17970.98853
237	17960.02132
238	17944.08546
239	17922.58608
240	17880.44797
241	17862.01578
242	17833.29686
243	17798.71482
244	17756.63323
245	17746.34092
246	17722.2008
247	17713.0487
248	17681.71811
249	17663.44226
250	17656.58062
251	17637.59977
252	17619.95124
253	17598.4029
254	17578.99074
255	17553.08762
256	17524.27567
257	17512.16001
258	17478.87588
259	17469.99443
260	17431.60905
261	17411.94601
262	17382.46652
263	17367.46646
264	17345.1837
265	17335.8024
266	17320.02965
267	17299.33482
268	17286.43878
269	17273.3804
270	17254.17601
271	17237.17368
272	17225.34156
273	17194.45698
274	17171.91903
275	17162.96852
276	17150.87291
277	17140.22811
278	17126.19218
279	17090.36222
280	17056.26692
281	17030.91262
282	17015.64408
283	16997.16094
284	16985.3364
285	16975.39178
286	16953.66793
287	16931.81098
288	16914.84152
289	16888.97479
290	16880.82365
291	16864.04469
292	16825.13833
293	16818.40594
294	16801.7717
295	16786.11309
296	16780.11927
297	16768.57511
298	16742.91318
299	16732.6555
300	16722.32862
301	16705.88854
302	16686.63302
303	16664.83769
304	16628.62527
305	16613.73226
306	16606.27944
307	16582.63127
308	16544.2403
309	16516.80493
310	16505.23241
311	16478.2045
312	16461.05967
313	16451.7617
314	16436.22816
315	16422.11102
316	16405.59018
317	16396.35443
318	16370.3147
319	16349.68884
320	16327.02176
321	16304.81858
322	16300.85841
323	16276.87169
324	16261.50711
325	16248.42215
326	16240.00156
327	16231.12469
328	16203.52432
329	16192.85045
330	16173.04844
331	16142.64186
332	16130.50237
333	16104.04282
334	16087.43513
335	16057.55168
336	16036.27515
337	16014.09647
338	16007.99394
339	15985.75638
340	15963.91818
341	15953.49415
342	15936.38909
343	15929.57464
344	15912.78511
345	15900.24548
346	15882.48641
347	15871.25134
348	15854.21461
349	15838.86581
350	15834.63288
351	15814.04838
352	15791.33408
353	15776.59456
354	15768.17525
355	15752.55565
356	15729.79469
357	15714.34685
358	15697.29049
359	15684.98633
360	15679.34078
361	15646.86926
362	15635.02522
363	15615.32992
364	15598.17909
365	15588.93936
366	15577.59881
367	15561.05476
368	15545.84332
369	15530.53299
370	15517.84352
371	15499.74666
372	15482.97116
373	15468.51633
374	15457.46102
375	15452.26436
376	15436.14633
377	15431.23831
378	15420.75875
379	15408.26456
380	15392.09249
381	15381.56515
382	15370.95177
383	15351.30776
384	15331.30186
385	15310.89601
386	15304.07539
387	15292.89657
388	15270.5059
389	15255.02791
390	15248.40449
391	15234.65683
392	15209.44698
393	15187.17196
394	15171.10816
395	15145.18752
396	15120.84326
397	15108.14796
398	15098.74449
399	15091.30089
400	15076.00105
401	15062.62407
402	15059.20919
403	15049.82877
404	15037.19511
405	15030.07638
406	15012.44356
407	15002.176
408	14989.96731
409	14987.3141
410	14983.15774
411	14971.51732
412	14960.70655
413	14940.50592
414	14923.82165
415	14909.61835
416	14890.47515
417	14879.47245
418	14872.67477
419	14854.15956
420	14840.10165
421	14827.60869
422	14815.31953
423	14808.56755
424	14796.35827
425	14769.91853
426	14756.78837
427	14747.05131
428	14736.34893
429	14729.80336
430	14713.79355
431	14695.4144
432	14686.66749
433	14679.46074
434	14658.78608
435	14642.21747
436	14632.32706
437	14622.89775
438	14605.80824
439	14600.83756
440	14592.27678
441	14582.13773
442	14565.65342
443	14549.95905
444	14529.88196
445	14522.85948
446	14510.59844
447	14492.01498
448	14480.5827
449	14459.53074
450	14442.10378
451	14429.98025
452	14415.17105
453	14403.97263
454	14393.29082
455	14370.57252
456	14363.15965
457	14355.91718
458	14344.29643
459	14328.19431
460	14315.85169
461	14304.8544
462	14294.21046
463	14283.90557
464	14273.92617
465	14264.2594
466	14254.30223
467	14244.6663
468	14234.59674
469	14225.28831
470	14217.12914
471	14208.5339
472	14200.15356
473	14190.35796
474	14179.36394
475	14171.64195
476	14162.48608
477	14144.49825
478	14134.54228
479	14117.25603
480	14109.88914
481	14094.0665
482	14080.57185
483	14069.90697
484	14055.55125
485	14041.23185
486	14025.51753
487	14016.89474
488	14009.1449
489	13989.71049
490	13985.43614
491	13972.98246
492	13960.89428
493	13952.59526
494	13944.5085
495	13921.87275
496	13911.83367
497	13907.92573
498	13901.4775
499	13887.21603
500	13880.37437
501	13873.77872
502	13866.10289
503	13856.90976
504	13844.51777
505	13831.35861
506	13821.5841
507	13801.99617
508	13794.58109
509	13787.44407
510	13774.71805
511	13770.81435
512	13764.60857
513	13740.5433
514	13720.38183
515	13715.3566
516	13708.51447
517	13697.30614
518	13691.34442
519	13686.45876
520	13661.61177
521	13647.92173
522	13638.0608
523	13625.60353
524	13606.56449
525	13584.82339
526	13564.9786
527	13549.31149
528	13538.74549
529	13522.25257
530	13515.24305
531	13504.1778
532	13492.70392
533	13488.20474
534	13473.45193
535	13460.49252
536	13448.80262
537	13440.73013
538	13428.68375
539	13417.7354
540	13407.58433
541	13397.68486
542	13391.989
543	13384.04929
544	13374.45266
545	13363.21656
546	13352.88246
547	13340.35949
548	13332.2983
549	13324.37598
550	13316.14359
551	13301.0004
552	13281.91233
553	13273.02502
554	13267.44297
555	13258.63051
556	13237.86743
557	13221.02469
558	13212.51893
559	13207.45561
560	13183.09012
561	13177.53339
562	13166.09323
563	13151.46135
564	13138.24857
565	13131.88671
566	13116.86924
567	13107.4285
568	13094.59223
569	13089.00305
570	13079.47962
571	13067.64327
572	13055.30284
573	13051.02953
574	13041.26921
575	13035.64333
576	13019.93915
577	13009.7173
578	13002.22576
579	12994.50929
580	12988.58464
581	12976.92393
582	12969.72665
583	12950.72959
584	12947.30448
585	12943.00739
586	12936.53112
587	12925.86268
588	12917.81007
589	12903.13751
590	12891.14852
591	12873.7402
592	12858.86739
593	12853.15871
594	12839.65787
595	12834.4452
596	12826.75658
597	12816.63181
598	12807.54618
599	12795.0875
600	12784.62527
601	12779.72506
602	12768.76503
603	12764.11931
604	12749.21235
605	12745.69644
606	12735.67951
607	12730.50161
608	12727.47791
609	12715.66156
610	12713.07718
611	12699.2941
612	12690.1788
613	12678.33411
614	12668.1691
615	12658.87234
616	12646.83049
617	12633.09952
618	12621.53479
619	12613.70803
620	12609.60443
621	12593.33277
622	12584.5524
623	12578.27874
624	12570.17623
625	12559.78877
626	12544.28618
627	12538.20983
628	12530.44086
629	12514.68446
630	12502.8386
631	12490.51293
632	12486.4567
633	12480.8424
634	12471.01057
635	12464.00992
636	12461.54383
637	12453.3284
638	12446.85887
639	12434.80204
640	12427.54162
641	12422.49768
642	12412.90766
643	12402.24992
644	12398.9369
645	12386.33941
646	12374.85648
647	12364.94458
648	12361.53183
649	12354.54372
650	12347.65536
651	12337.77642
652	12326.09463
653	12319.0468
654	12309.20635
655	12301.23001
656	12291.83037
657	12281.09559
658	12268.99961
659	12258.51665
660	12251.97134
661	12239.65835
662	12231.58452
663	12222.24046
664	12213.99861
665	12204.66649
666	12193.28112
667	12188.14719
668	12179.11958
669	12171.36054
670	12155.29245
671	12149.37418
672	12134.3143
673	12124.11911
674	12118.44956
675	12110.21305
676	12102.40776
677	12095.61501
678	12090.63456
679	12074.2492
680	12059.86865
681	12055.00165
682	12044.19962
683	12038.01992
684	12033.23979
685	12026.86507
686	12018.79561
687	12013.7138
688	12007.03491
689	12002.43796
690	11994.21411
691	11984.94676
692	11974.6857
693	11970.08916
694	11966.90327
695	11957.96816
696	11952.58986
697	11945.83346
698	11930.60829
699	11921.84494
700	11913.90956
701	11904.75503
702	11896.17351
703	11889.14589
704	11884.0199
705	11876.25959
706	11866.30712
707	11861.96736
708	11852.71074
709	11852.34896
710	11847.76849
711	11842.19369
712	11840.81749
713	11839.29824
714	11834.3912
715	11822.62529
716	11812.49696
717	11801.65478
718	11797.23983
719	11789.32405
720	11781.86578
721	11781.52483
722	11781.19262
723	11774.469
724	11767.73063
725	11763.05261
726	11751.68321
727	11742.69011
728	11741.43123
729	11735.78202
730	11732.76896
731	11722.9712
732	11720.05478
733	11719.05715
734	11713.05475
735	11711.88679
736	11702.1745
737	11700.42191
738	11700.02955
739	11699.11045
740	11698.0702
741	11696.89176
742	11696.18222
743	11687.36642
744	11685.43728
745	11684.56115
746	11678.70295
747	11678.04343
748	11675.22293
749	11667.48251
750	11658.68301
751	11651.07349
752	11644.88179
753	11640.7322
754	11626.91698
755	11618.48129
756	11614.45037
757	11607.73496
758	11603.24937
759	11588.40498
760	11580.79103
761	11571.44496
762	11570.17388
763	11562.77121
764	11555.49311
765	11546.64223
766	11545.03003
767	11541.08278
768	11536.46518
769	11530.37997
770	11524.83826
771	11517.87624
772	11507.72286
773	11500.16434
774	11493.65698
775	11488.39582
776	11487.5482
777	11478.9822
778	11470.44946
779	11456.61611
780	11452.64879
781	11442.94118
782	11433.50717
783	11417.53435
784	11410.43883
785	11398.73599
786	11391.92953
787	11382.24429
788	11375.93505
789	11365.87215
790	11357.4681
791	11352.42611
792	11338.3837
793	11332.86368
794	11323.37386
795	11317.07959
796	11303.66441
797	11288.42907
798	11278.85754
799	11275.20356
800	11269.31957
801	11262.56046
802	11255.04932
803	11248.77114
804	11245.40016
805	11232.58315
806	11220.04538
807	11211.73456
808	11204.7369
809	11199.57091
810	11192.82519
811	11181.45537
812	11175.98073
813	11169.48557
814	11168.90609
815	11159.23842
816	11158.15266
817	11146.76573
818	11136.31078
819	11129.14099
820	11123.37684
821	11114.70241
822	11105.95401
823	11095.00817
824	11087.56148
825	11078.74697
826	11071.96637
827	11065.74344
828	11059.5598
829	11053.91754
830	11050.00053
831	11049.43788
832	11045.64662
833	11042.6444
834	11036.73822
835	11033.53141
836	11029.4107
837	11023.48445
838	11019.89139
839	11015.29033
840	11011.59541
841	11007.99818
842	11004.40626
843	11000.91697
844	10992.15479
845	10988.75298
846	10977.70301
847	10965.02154
848	10962.24166
849	10952.89518
850	10951.91997
851	10947.21431
852	10936.67815
853	10933.33914
854	10930.10272
855	10926.00571
856	10916.62083
857	10913.4048
858	10909.40514
859	10906.67077
860	10904.83894
861	10901.59375
862	10891.74005
863	10885.2821
864	10879.1191
865	10873.592
866	10866.19435
867	10862.65431
868	10859.35363
869	10853.59712
870	10844.01947
871	10836.16185
872	10827.34563
873	10824.34477
874	10816.10456
875	10810.08742
876	10805.80456
877	10797.09465
878	10784.31909
879	10775.90295
880	10772.92503
881	10770.04065
882	10763.72998
883	10757.49451
884	10752.24983
885	10748.4443
886	10740.20147
887	10735.48051
888	10731.79719
889	10721.3521
890	10714.46935
891	10706.40396
892	10697.22188
893	10689.85204
894	10684.5763
895	10677.90838
896	10673.13946
897	10664.85648
898	10655.53355
899	10652.5807
900	10645.37438
901	10630.39203
902	10624.4388
903	10621.08178
904	10615.77529
905	10608.72971
906	10600.68009
907	10589.96563
908	10585.66808
909	10579.78112
910	10577.99038
911	10569.62058
912	10565.64872
913	10561.41244
914	10554.89873
915	10546.56264
916	10537.33094
917	10527.69473
918	10510.68824
919	10502.55135
920	10494.98883
921	10486.08906
922	10480.48757
923	10477.10028
924	10471.48857
925	10468.15448
926	10459.92788
927	10456.3652
928	10448.57092
929	10446.06776
930	10438.84701
931	10433.39952
932	10426.37555
933	10417.61495
934	10414.78077
935	10406.61805
936	10403.90024
937	10393.73203
938	10386.46498
939	10379.48402
940	10373.65466
941	10364.47944
942	10356.40212
943	10340.88042
944	10334.71615
945	10323.93231
946	10318.50568
947	10314.16557
948	10309.43713
949	10300.44187
950	10295.82634
951	10290.66596
952	10283.00336
953	10275.09696
954	10266.619
955	10259.29331
956	10253.62257
957	10245.82963
958	10239.94039
959	10235.43434
960	10230.9115
961	10227.0747
962	10221.03906
963	10215.41169
964	10207.79859
965	10197.82078
966	10193.21742
967	10188.34436
968	10176.03454
969	10168.57446
970	10158.66086
971	10150.16927
972	10141.88654
973	10136.59026
974	10129.28769
975	10124.4864
976	10115.36958
977	10109.56479
978	10101.71717
979	10090.89823
980	10083.57497
981	10076.41148
982	10073.83064
983	10066.87984
984	10058.317
985	10047.19436
986	10043.92138
987	10037.16448
988	10032.26651
989	10025.98073
990	10023.26129
991	10019.59492
992	10016.46964
993	10011.75703
994	10007.53679
995	10002.24997
996	9995.68727
997	9987.618738
998	9985.139537
999	9980.934132
